Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2021,1,Mendoza,12.6,1.14
2021,1,Misiones,25.08,1.0
2021,1,Neuquén,34.25,1.01
2021,1,Río Negro,21.92,1.01
2021,1,Salta,27.31,1.08
2021,1,San Juan,6.91,1.08
2021,1,San Luis,21.6,1.02
2021,1,Santa Cruz,7.5,1.0
2021,1,Santa Fe,28.12,1.03
2021,1,Santiago Del Estero,11.58,1.03
2021,1,Tierra Del Fuego,8.73,1.03
2021,1,Tucumán,37.97,1.04
2021,2,Buenos Aires,52.75,1.04
2021,2,Capital Federal,72.75,1.07
2021,2,Catamarca,42.2,1.06
2021,2,Chaco,37.4,1.11
2021,2,Chubut,7.68,1.02
2021,2,Córdoba,39.6,1.09
2021,2,Corrientes,30.38,1.17
2021,2,Entre Ríos,27.62,1.16
2021,2,Formosa,23.97,1.14
2021,2,Jujuy,25.81,0.96
2021,2,La Pampa,12.28,1.14
2021,2,La Rioja,38.53,3.03
