Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2019,1,Córdoba,81,20403,242769,96997,200681,127965,50716,746418
2019,1,Corrientes,10,6470,38402,26562,15498,9688,5029,101659
2019,1,Entre Ríos,18,9217,107013,50068,28957,18146,7619,233180
2019,1,Formosa,1110,3023,23085,5301,9027,2099,1654,45299
2019,1,Jujuy,27,2817,30727,7811,4021,30,1141,83736
2019,1,La Pampa,236,8327,70538,4466,1061,1354,405,87085
2019,1,La Rioja,9,1169,40285,4088,5216,17,869,51653
2019,1,Mendoza,20,1786,205383,2837,5702,111,140,215979
2019,1,Misiones,47,5946,45266,25890,19111,16552,5167,125633
2019,1,Neuquén,1328,3055,52360,1781,21452,17135,11026,114242
2019,1,Río Negro,384,1583,84845,2037,13615,9567,5076,120826
2019,1,Salta,49,4232,59244,36473,22910,10861,2242,136012
2019,1,San Juan,22,229,62380,266,520,3,2,63982
2019,1,San Luis,57,120,21380,53214,345,6,2,98701
2019,1,Santa Cruz,25,128,21990,2731,702,26,4,25606
2019,1,Santa Fe,333,29350,296798,122959,153212,74575,36502,732320
2019,1,Santiago Del Estero,39,3372,62895,20691,3959,85,494,91535
2019,1,Tierra Del Fuego,6,131,38851,3623,641,80,29,43361
2019,1,Tucumán,16,5188,82240,42877,26210,847,14839,172217
2018,4,Buenos Aires,134673,73761,1422463,194426,577679,949093,265386,3636606
2018,4,Capital Federal,74,7388,283281,143309,330496,437662,186810,1389020
2018,4,Catamarca,34,1669,17955,6425,5461,29,7,33583
2018,4,Chaco,69,3405,36437,25633,18965,12393,6368,103270
2018,4,Chubut,66,3917,66061,6215,531,623,165,78722
2018,4,Córdoba,81,24102,228475,97277,201639,128053,48809,737339
